name,runs,wrong_start,good_start,total_start,wrong_change,good_change,total_change,total_time,good_runs,run_ins,run_outside,wrong_start_ratio,wrong_change_ratio,run_in_ratio,run_outside_ratio,avg_start,avg_change,avg_time
WildRunners dreamers,700,26,149,14.524999999999986,45,480,125.17999999999998,2875.69,695,3,2,3.7142857142857144,6.428571428571428,0.4285714285714286,0.2857142857142857,0.09748322147650998,0.26079166666666664,4.13768345323741
WildRunners Maximini,891,31,195,24.413999999999984,73,592,192.09999999999994,3857.590000000004,882,1,8,3.479236812570146,8.19304152637486,0.11223344556677892,0.8978675645342313,0.12519999999999992,0.32449324324324313,4.37368480725624
WildRunners hopefuls,751,21,167,22.10399999999999,71,492,107.45,3022.4700000000016,748,2,1,2.796271637816245,9.454061251664447,0.2663115845539281,0.13315579227696406,0.1323592814371257,0.21839430894308945,4.040735294117649
WildRunners XXL,458,37,78,18.445999999999994,41,302,159.67999999999995,2430.64,450,2,6,8.078602620087336,8.951965065502183,0.43668122270742354,1.3100436681222707,0.23648717948717943,0.5287417218543045,5.401422222222222
WildRunners Zephyr,846,31,181,33.28499999999999,72,562,321.6800000000002,3887.16,818,3,25,3.664302600472813,8.51063829787234,0.3546099290780142,2.955082742316785,0.18389502762430934,0.572384341637011,4.7520293398533004
WildRunners Nightfall,608,22,130,15.678999999999998,47,409,209.18,2608.210000000002,599,4,5,3.618421052631579,7.730263157894737,0.6578947368421052,0.8223684210526315,0.12060769230769229,0.5114425427872861,4.354273789649419
WildRunners Wonders,176,7,37,4.7650000000000015,22,110,73.27,906.3199999999996,170,3,3,3.977272727272727,12.5,1.7045454545454544,1.7045454545454544,0.12878378378378383,0.6660909090909091,5.331294117647056
