name,trainer,breed,sex,neutered,birth,ulna_length,jump_height,age,runs,wrong_start,good_start,total_start,wrong_change,good_change,total_change,total_time,good_runs,run_ins,run_outside,wrong_start_ratio,wrong_change_ratio,run_in_ratio,run_outside_ratio,avg_start,avg_change,avg_time
Hector,UO880828,Border Collie,M,N,2018-08-02,18.0,32.5,5.419178082191781,171,0,0,0.0,24,147,26.039999999999996,716.2999999999997,168,3,0,0.0,14.035087719298245,1.7543859649122806,0.0,,0.1771428571428571,4.263690476190474
Maggie,TU820403,Border Collie,F,Y,2018-09-02,16.54,30.0,5.3342465753424655,226,0,14,1.3600000000000003,25,187,26.58,906.8399999999995,225,0,1,0.0,11.061946902654867,0.0,0.4424778761061947,0.09714285714285717,0.14213903743315506,4.0303999999999975
Rocky,EH831207,Belgian shepherd - Malinois,M,Y,2018-12-22,18.29,32.5,5.03013698630137,51,0,14,1.9600000000000004,5,32,10.439999999999998,265.9400000000001,51,0,0,0.0,9.803921568627452,0.0,0.0,0.14000000000000004,0.32624999999999993,5.214509803921571
Dixie,LZ800202,Border Collie,M,Y,2018-12-22,14.36,25.0,5.03013698630137,130,4,18,2.1899999999999995,17,91,10.910000000000002,556.0500000000001,130,0,0,3.076923076923077,13.076923076923078,0.0,0.0,0.12166666666666665,0.11989010989010991,4.2773076923076925
Brix,OA821108,Border Collie,M,Y,2019-01-19,17.68,32.5,4.953424657534247,41,1,40,13.269999999999998,0,0,0.0,182.97999999999996,40,0,1,2.4390243902439024,0.0,0.0,2.4390243902439024,0.33174999999999993,,4.574499999999999
Tyna,EC940409,Border Collie,F,Y,2019-06-15,15.36,27.5,4.550684931506849,162,0,0,0.0,15,147,24.640000000000008,654.8000000000003,161,1,0,0.0,9.25925925925926,0.6172839506172839,0.0,,0.16761904761904767,4.067080745341617
Abby,NZ800507,Border Collie,F,Y,2019-07-16,15.46,27.5,4.465753424657534,64,0,0,0.0,10,54,24.340000000000007,303.96000000000004,64,0,0,0.0,15.625,0.0,0.0,,0.4507407407407409,4.749375000000001
Easy,EH800220,Patterdale terrier,M,Y,2019-11-13,11.71,20.0,4.136986301369863,41,4,37,4.159999999999998,0,0,0.0,174.19,39,0,2,9.75609756097561,0.0,0.0,4.878048780487805,0.1124324324324324,,4.466410256410256
Falco,DU050516,Border Collie,F,Y,2020-04-20,15.28,27.5,3.7013698630136984,124,13,37,6.236000000000002,11,63,13.980000000000002,486.36999999999995,115,4,5,10.483870967741936,8.870967741935484,3.225806451612903,4.032258064516129,0.1685405405405406,0.22190476190476194,4.229304347826086
Sunny,GB900808,Belgian shepherd - Malinois,F,Y,2020-09-10,18.0,32.5,3.3095890410958906,117,19,98,10.532999999999994,0,0,0.0,477.25999999999976,117,0,0,16.23931623931624,0.0,0.0,0.0,0.10747959183673464,,4.079145299145297
Nina,RF840515,Border Collie,F,Y,2020-09-20,15.38,27.5,3.282191780821918,140,12,122,8.322999999999993,1,5,20.85,580.8300000000002,140,0,0,8.571428571428571,0.7142857142857143,0.0,0.0,0.06822131147540979,4.17,4.148785714285715
Kesha,TC041225,Border Collie,M,N,2020-11-16,13.6,22.5,3.126027397260274,62,0,0,0.0,14,48,17.36,314.9199999999999,62,0,0,0.0,22.58064516129032,0.0,0.0,,0.36166666666666664,5.079354838709675
Mason,LF971218,Mix,M,Y,2020-11-29,15.23,27.5,3.0904109589041098,125,2,17,1.7700000000000005,16,90,21.26,593.8400000000004,125,0,0,1.6,12.8,0.0,0.0,0.10411764705882355,0.23622222222222225,4.750720000000003
Moon,GE030417,Border Collie,F,N,2021-01-04,17.35,30.0,2.9917808219178084,119,0,0,0.0,20,99,15.049999999999999,473.0499999999999,119,0,0,0.0,16.80672268907563,0.0,0.0,,0.152020202020202,3.9752100840336126
Sirius,DD800226,Border Collie,M,Y,2021-01-04,17.74,32.5,2.9917808219178084,102,0,2,1.1400000000000001,8,92,92.40999999999997,404.91999999999985,98,2,2,0.0,7.8431372549019605,1.9607843137254901,1.9607843137254901,0.5700000000000001,1.0044565217391301,4.131836734693876
Scotty,LM070408,Mudi,M,N,2021-01-31,16.84,30.0,2.9178082191780823,44,12,15,2.9099999999999997,3,14,7.029999999999999,211.59,44,0,0,27.27272727272727,6.8181818181818175,0.0,0.0,0.19399999999999998,0.5021428571428571,4.808863636363636
Cookies,RN891016,Australian Kelpie,M,N,2021-04-09,15.12,27.5,2.7315068493150685,65,19,31,4.3,1,14,66.92000000000002,259.95,63,0,2,29.230769230769234,1.5384615384615385,0.0,3.076923076923077,0.13870967741935483,4.780000000000001,4.126190476190476
Bree,LP030829,Belgian shepherd - Malinois,F,Y,2021-06-11,16.73,30.0,2.558904109589041,202,1,24,3.1010000000000004,24,153,41.019999999999996,854.1100000000001,201,0,1,0.49504950495049505,11.881188118811881,0.0,0.49504950495049505,0.12920833333333334,0.26810457516339864,4.249303482587066
Brooke,MJ930217,Border Collie,M,N,2021-10-20,17.08,30.0,2.2,158,13,96,13.246,4,45,7.500000000000003,667.4699999999999,158,0,0,8.227848101265822,2.5316455696202533,0.0,0.0,0.13797916666666668,0.1666666666666667,4.224493670886075
Bonnie,NJ890324,Whippet,F,N,2022-03-08,15.71,27.5,1.819178082191781,103,2,4,0.9600000000000001,16,81,18.73,431.7000000000003,102,1,0,1.9417475728155338,15.53398058252427,0.9708737864077669,0.0,0.24000000000000002,0.23123456790123456,4.232352941176473
Hank,UH881130,Mix,M,N,2022-05-02,16.28,27.5,1.6684931506849314,165,5,18,3.051,8,134,56.56000000000001,752.3800000000001,164,1,0,3.0303030303030303,4.848484848484849,0.6060606060606061,0.0,0.1695,0.42208955223880606,4.587682926829269
