division,when,team1,team2,time_tot,win,hurdles,name1,start_chng1,time1,name2,start_chng2,time2,name3,start_chng3,time3,name4,start_chng4,time4,event,course_color
10,2020-01-01 15:06:07,Skyball Phoenix,What The Fractal,26.8,W,17.5,Rafael,0.25,4.3,Hexe,0.29,4.17,Eryn,-1.0,4.37,Manci,0.62,4.91,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:06:07,What The Fractal,Skyball Phoenix,24.44,L,15.0,Kodi,0.15,4.23,Thor,0.0,4.52,Fuks,0.17,4.74,Lilka,0.31,4.98,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:07:36,Skyball Phoenix,What The Fractal,24.28,W,17.5,Rafael,-0.006,4.31,Hexe,0.28,4.29,Eryn,0.0,4.51,Manci,0.3,4.85,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
10,2020-01-01 15:07:36,What The Fractal,Skyball Phoenix,24.83,L,15.0,Kodi,0.19,4.23,Thor,-0.13,4.49,Fuks,0.0,4.98,Lilka,0.0,4.8,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:12:23,JokerZ Lou,BayernXpress I,19.67,L,20.0,Leeloo,0.08,4.13,Khumba,0.0,4.45,Pelly,0.25,5.37,Ria,0.22,5.17,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:12:23,BayernXpress I,JokerZ Lou,19.98,W,25.0,Filou,0.02,4.96,Sugar,0.29,4.08,Pepper,0.18,5.17,Berta,-0.39,5.68,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:14:55,JokerZ Lou,BayernXpress I,20.53,W,20.0,Khumba,0.11,4.45,Pelly,0.0,5.68,Sura,0.0,5.5,Árnyék,0.25,4.55,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:14:55,BayernXpress I,JokerZ Lou,20.42,L,25.0,Filou,0.13,5.08,Sugar,0.32,4.05,Pepper,0.27,5.29,Berta,-1.0,5.29,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:16:13,JokerZ Lou,BayernXpress I,20.62,W,20.0,Khumba,0.08,4.47,Pelly,0.26,5.79,Sura,0.0,5.31,Árnyék,0.32,4.39,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:16:13,BayernXpress I,JokerZ Lou,20.58,L,25.0,Filou,0.04,5.26,Berta,0.18,5.28,unknown,0.3,5.3,Sugar,0.0,4.22,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:17:45,JokerZ Lou,BayernXpress I,21.29,W,20.0,Khumba,0.06,4.6,Pelly,0.0,5.72,Sura,0.44,5.23,Árnyék,0.84,4.4,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 15:17:45,BayernXpress I,JokerZ Lou,19.94,L,25.0,Filou,0.09,5.02,Berta,-1.0,5.39,Pepper,-0.36,5.61,Sugar,0.0,4.19,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 15:22:00,Roadrunners Rockets,Yelly BEAST,20.27,W,25.0,Oswin,0.1,4.27,Djazz,0.75,4.97,Thygo,0.14,4.23,Rusko,0.97,4.84,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
