division,when,team1,team2,time_tot,win,hurdles,name1,start_chng1,time1,name2,start_chng2,time2,name3,start_chng3,time3,name4,start_chng4,time4,event,course_color
13,2020-01-01 17:08:54,BayernXpress I,Real Ballance Flyball Team,33.47,L,20.0,Filou,0.07,5.1,Sugar,0.24,4.08,Kasi,0.19,5.02,Pepper,0.14,5.04,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 17:09:58,Real Ballance Flyball Team,BayernXpress I,20.84,W,17.5,Chase,0.21,4.41,Rubble,0.21,5.06,Zuma,0.18,5.28,Marshall,0.42,5.06,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
13,2020-01-01 17:09:58,BayernXpress I,Real Ballance Flyball Team,20.84,L,20.0,Filou,0.09,5.21,Sugar,0.34,4.25,Kasi,0.38,5.02,Pepper,0.34,5.23,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 17:16:41,BomBallance Flyball Team,JokerZ Sun,19.57,L,22.5,Panka,0.06,5.16,Fleche,0.28,4.58,Simon,0.0,5.16,Koni,0.0,4.32,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 17:16:41,JokerZ Sun,BomBallance Flyball Team,18.94,W,17.5,Giny,0.17,4.35,Kleo,0.21,4.14,Keru,0.0,4.88,Taz,0.0,5.19,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 17:17:45,BomBallance Flyball Team,JokerZ Sun,19.44,L,22.5,Panka,0.21,5.05,Fleche,0.34,4.48,Simon,0.0,5.12,Koni,-1.0,4.25,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 17:17:45,JokerZ Sun,BomBallance Flyball Team,18.93,W,17.5,Giny,0.07,4.31,Kleo,0.19,4.12,Keru,0.0,4.93,Taz,0.18,5.12,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 17:19:06,BomBallance Flyball Team,JokerZ Sun,19.56,W,22.5,Fleche,-0.16,4.51,Simon,0.31,5.07,Koni,0.28,4.23,Maze,0.2,5.12,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 17:19:06,JokerZ Sun,BomBallance Flyball Team,19.39,L,17.5,Giny,0.1,4.31,Kleo,0.31,4.1,Keru,0.32,4.76,Taz,0.46,5.04,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
11,2020-01-01 17:20:27,BomBallance Flyball Team,JokerZ Sun,19.61,L,22.5,Fleche,0.21,4.49,Simon,-1.0,5.17,Koni,0.13,4.26,Maze,0.22,5.13,EFC - Ring 1 (Tápiószentmárton) 2023. július 29.,
